counter_id,counter,daily_range_high,daily_range_low,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
14704,TNM,26.0,25.99,0.0,25.99,26.0,25.99,74488.0,0.0,0.0,-1.82,-54.82,6.25,260951.3,-4760.0,10040450000.0,2024-11-27,14:48:06
14705,AIRTEL,95.0,95.0,95.0,0.0,90.01,95.0,40000000.0,0.0,0.0,-1.48,-67.75,-98.53,1045000.0,-15424.24,11000000000.0,2024-11-28,14:41:38
14706,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-28,14:41:38
14707,FDHB,148.65,148.64,135.0,148.65,148.65,148.65,96614.0,3.28,2.21,3.47,28.78,17.48,1025838.3,35646.93,6901031250.0,2024-11-28,14:41:38
14708,FMBCH,450.0,430.0,430.0,0.0,430.0,449.96,1051981.0,10.99,2.44,5.45,18.35,4.78,1106114.17,60287.2,2458250000.0,2024-11-28,14:41:38
14709,ICON,15.77,15.76,0.0,15.75,15.78,15.77,29972.0,0.27,1.71,18.19,5.5,0.87,105343.6,19159.35,6680000000.0,2024-11-28,14:41:38
14710,ILLOVO,1355.09,1355.09,1355.09,0.0,1355.11,1355.09,490.0,29.2,2.15,5.87,17.03,6.95,966781.36,56758.0,713444391.0,2024-11-28,14:41:38
14711,MPICO,18.52,16.5,18.52,0.0,16.5,18.52,404032686.0,0.38,2.05,12.85,7.78,0.74,42559.84,5468.81,2298047460.0,2024-11-28,14:41:38
14712,NBM,3450.01,3450.0,3450.0,3450.01,3450.0,3450.0,1613.0,102.8,2.98,4.48,22.3,7.8,1610914.5,72245.0,466931738.0,2024-11-28,14:41:38
14713,NBS,151.98,151.97,140.0,151.98,151.97,151.98,530847.0,4.54,2.99,6.64,15.06,8.84,442348.94,29378.0,2910573356.0,2024-11-28,14:41:38
14714,NICO,287.01,287.01,287.01,0.0,287.0,287.01,7797.0,10.0,3.48,10.39,9.63,3.29,299363.22,31096.0,1043041096.0,2024-11-28,14:41:38
14715,NITL,,,409.93,440.0,409.93,409.93,0.0,6.5,1.59,38.86,2.57,1.23,55340.55,21504.55,135000000.0,2024-11-28,14:41:38
14716,OMU,1950.01,1950.01,1950.01,0.0,1950.01,1950.01,13.0,63.37,3.25,4.89,20.46,1.83,26014.34,1271.4,13340621.0,2024-11-28,14:41:38
14717,PCL,,,0.0,2499.79,2499.79,2499.79,0.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-28,14:41:38
14718,STANDARD,,,6000.1,0.0,6000.09,6000.09,0.0,108.24,1.8,3.73,26.81,7.26,1408030.09,52520.0,234668162.0,2024-11-28,14:41:38
14719,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-28,14:41:38
14720,TNM,25.99,25.98,0.0,25.98,25.99,25.99,27392.0,0.0,0.0,-1.82,-54.82,6.25,260951.3,-4760.0,10040450000.0,2024-11-28,14:41:38
14721,AIRTEL,100.0,95.0,95.04,100.0,95.0,97.24,380518.0,0.0,0.0,-1.44,-69.35,-100.85,1069640.0,-15424.24,11000000000.0,2024-11-29,14:51:36
14722,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-29,14:51:36
14723,FDHB,148.65,148.6,135.0,148.6,148.65,148.62,324935.0,3.28,2.21,3.48,28.77,17.47,1025631.26,35646.93,6901031250.0,2024-11-29,14:51:36
14724,FMBCH,450.0,450.0,450.0,0.0,449.96,450.0,4202048.0,10.99,2.44,5.45,18.35,4.78,1106212.5,60287.2,2458250000.0,2024-11-29,14:51:36
14725,ICON,18.11,15.75,0.0,18.0,15.77,18.05,41504244.0,0.27,1.5,15.89,6.29,1.0,120574.0,19159.35,6680000000.0,2024-11-29,14:51:36
14726,ILLOVO,,,1355.09,0.0,1355.09,1355.09,0.0,5.0,0.37,2.34,42.72,6.5,966781.36,22632.0,713444391.0,2024-11-29,14:51:36
14727,MPICO,,,18.53,0.0,18.52,18.52,0.0,0.38,2.05,12.85,7.78,0.74,42559.84,5468.81,2298047460.0,2024-11-29,14:51:36
14728,NBM,3450.01,3450.0,0.0,3450.01,3450.0,3450.01,5789.0,102.8,2.98,4.48,22.3,7.8,1610919.17,72245.0,466931738.0,2024-11-29,14:51:36
14729,NBS,151.98,151.96,140.0,151.97,151.98,151.98,529564.0,4.54,2.99,6.64,15.06,8.84,442348.94,29378.0,2910573356.0,2024-11-29,14:51:36
14730,NICO,287.02,287.01,287.02,0.0,287.01,287.02,19406.0,10.0,3.48,10.39,9.63,3.29,299373.66,31096.0,1043041096.0,2024-11-29,14:51:36
14731,NITL,440.0,440.0,440.0,0.0,409.93,440.0,2500.0,6.5,1.48,36.2,2.76,1.32,59400.0,21504.55,135000000.0,2024-11-29,14:51:36
14732,OMU,1950.02,1950.01,1950.01,0.0,1950.01,1950.01,2576.0,63.37,3.25,4.89,20.46,1.83,26014.34,1271.4,13340621.0,2024-11-29,14:51:36
14733,PCL,2499.79,2499.78,0.0,2499.78,2499.79,2499.78,119.0,46.0,1.84,13.45,7.44,1.14,300613.09,40421.0,120255820.0,2024-11-29,14:51:36
14734,STANDARD,6000.12,6000.09,6000.12,0.0,6000.09,6000.09,158308.0,108.24,1.8,3.73,26.81,7.26,1408030.09,52520.0,234668162.0,2024-11-29,14:51:36
14735,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-29,14:51:36
14736,TNM,25.98,25.97,0.0,25.97,25.99,25.98,75756.0,0.0,0.0,-1.82,-54.8,6.25,260850.89,-4760.0,10040450000.0,2024-11-29,14:51:36
14737,AIRTEL,100.0,99.99,95.04,99.99,97.24,100.0,44030.0,0.0,0.0,-1.4,-71.32,-103.71,1100000.0,-15424.24,11000000000.0,2024-12-02,15:03:42
14738,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-12-02,15:03:42
14739,FDHB,148.6,148.59,135.0,148.59,148.62,148.6,19248.0,3.28,2.21,3.48,28.77,17.47,1025493.24,35646.93,6901031250.0,2024-12-02,15:03:42
14740,FMBCH,450.0,450.0,450.0,0.0,450.0,450.0,1250.0,10.99,2.44,5.45,18.35,4.78,1106212.5,60287.2,2458250000.0,2024-12-02,15:03:42
14741,ICON,,,0.0,18.05,18.05,18.05,0.0,0.27,1.5,15.89,6.29,1.0,120574.0,19159.35,6680000000.0,2024-12-02,15:03:42
14742,ILLOVO,,,1355.09,0.0,1355.09,1355.09,0.0,5.0,0.37,2.34,42.72,6.5,966781.36,22632.0,713444391.0,2024-12-02,15:03:42
14743,MPICO,,,18.53,0.0,18.52,18.52,0.0,0.38,2.05,12.85,7.78,0.74,42559.84,5468.81,2298047460.0,2024-12-02,15:03:42
14744,NBM,3450.01,3450.01,0.0,3450.01,3450.01,3450.01,675.0,102.8,2.98,4.48,22.3,7.8,1610919.17,72245.0,466931738.0,2024-12-02,15:03:42
14745,NBS,151.97,151.97,140.0,151.97,151.98,151.97,33578.0,4.54,2.99,6.64,15.06,8.84,442319.83,29378.0,2910573356.0,2024-12-02,15:03:42
14746,NICO,,,287.02,0.0,287.02,287.02,0.0,10.0,3.48,10.39,9.63,3.29,299373.66,31096.0,1043041096.0,2024-12-02,15:03:42
14747,NITL,,,440.0,0.0,440.0,440.0,0.0,6.5,1.48,36.2,2.76,1.32,59400.0,21504.55,135000000.0,2024-12-02,15:03:42
14748,OMU,1950.01,1950.01,1950.01,0.0,1950.01,1950.01,370.0,63.37,3.25,4.89,20.46,1.83,26014.34,1271.4,13340621.0,2024-12-02,15:03:42
14749,PCL,,,0.0,2499.78,2499.78,2499.78,0.0,46.0,1.84,13.45,7.44,1.14,300613.09,40421.0,120255820.0,2024-12-02,15:03:42
14750,STANDARD,6000.13,6000.13,6000.13,0.0,6000.09,6000.13,25.0,108.24,1.8,3.73,26.81,7.26,1408039.48,52520.0,234668162.0,2024-12-02,15:03:42
14751,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-12-02,15:03:42
14752,TNM,25.97,25.97,0.0,25.96,25.98,25.97,5848.0,0.0,0.0,-1.83,-54.78,6.24,260750.49,-4760.0,10040450000.0,2024-12-02,15:03:42
14753,AIRTEL,100.0,99.99,95.04,100.0,100.0,100.0,202429.0,0.0,0.0,-1.4,-71.32,-103.71,1100000.0,-15424.24,11000000000.0,2024-12-03,15:02:09
14754,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-12-03,15:02:09
14755,FDHB,148.59,148.57,0.0,148.57,148.6,148.58,18391.0,3.28,2.21,3.48,28.76,17.47,1025355.22,35646.93,6901031250.0,2024-12-03,15:02:09
14756,FMBCH,,,450.0,0.0,450.0,450.0,0.0,10.99,2.44,5.45,18.35,4.78,1106212.5,60287.2,2458250000.0,2024-12-03,15:02:09
14757,ICON,18.05,18.05,0.0,18.05,18.05,18.05,7750.0,0.27,1.5,15.89,6.29,1.0,120574.0,19159.35,6680000000.0,2024-12-03,15:02:09
